"","id","agencyID","Name.en","Name.lt","Description.en","Description.lt","version","uri","urn","isExternalReference","isFinal","validFrom","validTo","dsdRef"
"1","S1R003_M8020420","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Bûstai, aprûpinti karðtu vandeniu centralizuotai ið miesto (rajono) ðilumos tinklø","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"2","S1R003_M8020421","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Bûstai, aprûpinti karðtu vandeniu centralizuotai ið miesto (rajono) ðilumos tinklø","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rûðis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"3","S1R004_M8020420","LSD","S1R004 - Dwellings with centralised hot water supply from a local boiler house","S1R004 - Bûstai, aprûpinti karðtu vandeniu centralizuotai ið vietinës katilinës","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R004_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"4","S1R005_M8020420","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Bûstai, aprûpinti karðtu vandeniu ið ðildymo sistemos katilø su karðto vandens ðildytuvu","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"5","S1R005_M8020421","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Bûstai, aprûpinti karðtu vandeniu ið ðildymo sistemos katilø su karðto vandens ðildytuvu","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rûðis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"6","S1R006_M8020420","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Bûstai, apsirûpinantys karðtu vandeniu individualiai","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"7","S1R006_M8020421","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Bûstai, apsirûpinantys karðtu vandeniu individualiai","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rûðis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"8","S1R007_M8020420","LSD","S1R007 - Dwellings with no hot water supply","S1R007 - Bûstai, kuriems neteikiamas karðtas vanduo","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R007_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"9","S1R008_M8020416","LSD","S1R008 - Availability of electrical appliances in dwellings","S1R008 - Bûstø apsirûpinimas elektros prietaisais","Electrical appliance | Place of residence (2009 - 2009) (Not be renewed)","Elektros prietaisas | Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R008_M8020416(1.0)",FALSE,FALSE,NA,NA,"M8020416"
"10","S1R009_M8020419","LSD","S1R009 - Heating of dwellings","S1R009 - Bûstø apðildymas","Fuel and energy | Type of supply (2009 - 2009) (Not be renewed)","Kuro ir energijos rûðis | Teikimo bûdas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R009_M8020419(1.0)",FALSE,FALSE,NA,NA,"M8020419"
"11","S1R009_M8020418","LSD","S1R009 - Heating of dwellings","S1R009 - Bûstø apðildymas","Place of residence | Type of supply (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë | Teikimo bûdas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R009_M8020418(1.0)",FALSE,FALSE,NA,NA,"M8020418"
"12","S1R010_M8020403","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Cc | Year of construction (2009 - 2009) (Not be renewed)","Pastatymo metai | Pastatø pagal tipà klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020403(1.0)",FALSE,FALSE,NA,NA,"M8020403"
"13","S1R010_M8020404","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Cc | Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietovë | Pastatø pagal tipà klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020404(1.0)",FALSE,FALSE,NA,NA,"M8020404"
"14","S1R010_M8020413","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Heated area | Number of persons | Urban/rural (2009 - 2009) (Not be renewed)","Apðildomas plotas | Asmenø skaièius | Vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020413(1.0)",FALSE,FALSE,NA,NA,"M8020413"
"15","S1R010_M8020406","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Number of persons | Place of residence (2009 - 2009) (Not be renewed)","Asmenø skaièius | Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020406(1.0)",FALSE,FALSE,NA,NA,"M8020406"
"16","S1R010_M8020408","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Heated area | Place of residence (2009 - 2009) (Not be renewed)","Apðildomas plotas | Gyvenamoji vietovë (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020408(1.0)",FALSE,FALSE,NA,NA,"M8020408"
"17","S1R010_M8020414","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Cc | Number of persons (2009 - 2009) (Not be renewed)","Asmenø skaièius | Pastatø pagal tipà klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020414(1.0)",FALSE,FALSE,NA,NA,"M8020414"
"18","S1R010_M8020415","LSD","S1R010 - Number of dwellings","S1R010 - Bûstø skaièius (energijos suvartojimo tyrimo informacija)","Cc | Heated area | Number of persons (2009 - 2009) (Not be renewed)","Apðildomas plotas | Asmenø skaièius | Pastatø pagal tipà klasifikatorius (CC) (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R010_M8020415(1.0)",FALSE,FALSE,NA,NA,"M8020415"
